make,model,year,price,mileage,overall_rating,complaint_count,reliability_score,age,depreciation_rate,fuel_type,engine,transmission,accident,clean_title
FORD,UTILITY POLICE INTERCEPTOR BASE,2013,10300.0,51000.0,3.0,0.0,1.0,11,1.65,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,At least 1 accident or damage reported,Yes
HYUNDAI,PALISADE SEL,2021,38005.0,34742.0,5.0,104.0,0.9290586630286494,3,0.4499999999999999,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,At least 1 accident or damage reported,Yes
LEXUS,RX 350 RX 350,2022,54598.0,22372.0,4.0,0.0,1.0,2,0.3,Gasoline,3.5 Liter DOHC,Automatic,None reported,
INFINITI,Q50 HYBRID SPORT,2015,15500.0,88900.0,5.0,0.0,1.0,9,1.35,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,None reported,Yes
AUDI,Q3 45 S LINE PREMIUM PLUS,2021,34999.0,9835.0,3.0,0.0,1.0,3,0.4499999999999999,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,None reported,
ACURA,ILX 2.4L,2016,14798.0,136397.0,5.0,33.0,0.9774897680763984,8,1.2,Gasoline,2.4 Liter,F,None reported,
AUDI,S3 2.0T PREMIUM PLUS,2017,31000.0,84000.0,3.0,0.0,1.0,7,1.05,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,Yes
BMW,740 IL,2001,7300.0,242000.0,3.0,0.0,1.0,23,3.4499999999999997,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
LEXUS,RC 350 F SPORT,2021,41927.0,23436.0,3.0,0.0,1.0,3,0.4499999999999999,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,Yes
TESLA,MODEL X LONG RANGE PLUS,2020,69950.0,34000.0,5.0,0.0,1.0,4,0.6,,534.0HP Electric Motor Electric Fuel System,A/T,None reported,Yes
LAND,ROVER RANGE ROVER SPORT 3.0 SUPERCHARGED HST,2021,73897.0,27608.0,3.0,0.0,1.0,3,0.4499999999999999,Gasoline,V6,Automatic,None reported,
ASTON,MARTIN DBS SUPERLEGGERA,2019,184606.0,22770.0,3.0,0.0,1.0,5,0.75,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,Yes
TOYOTA,SUPRA 3.0 PREMIUM,2021,53500.0,12500.0,3.0,5.0,0.9965893587994544,3,0.4499999999999999,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
LINCOLN,AVIATOR RESERVE AWD,2022,62000.0,18196.0,3.0,0.0,1.0,2,0.3,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None reported,Yes
JAGUAR,F-TYPE,2020,47998.0,15903.0,3.0,1.0,0.9993178717598908,4,0.6,Gasoline,2.0 Liter Supercharged,Automatic,None reported,
LAND,ROVER LR4 HSE,2013,29990.0,79800.0,3.0,0.0,1.0,11,1.65,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
MERCEDES-BENZ,METRIS BASE,2021,250000.0,1685.0,3.0,0.0,1.0,3,0.4499999999999999,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,None reported,Yes
DODGE,CHALLENGER SXT,2013,16800.0,61074.0,3.0,0.0,1.0,11,1.65,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
NISSAN,350Z ENTHUSIAST,2003,11000.0,74000.0,3.0,0.0,1.0,21,3.15,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,Yes
JAGUAR,F-TYPE R,2018,68750.0,35250.0,3.0,0.0,1.0,6,0.8999999999999999,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,Yes
